Identifier,Segmentation-auto,OCR-auto,Segmentation_revue,Transcription_verses_revue,Prop,  Resp,Author,Title,Printer,Date,Place,Link digital book,Library,Call number,Priority,files for script,page_nbr
Bugenhagen_Rm,yes,no,no,no,H,BD,Johannes Bugenhagen,In epistolam Pauli ad Romanos Interpretatio,Johannes Secerius,1527,Hagenau,https://data.onb.ac.at/rep/10AC1F79, Österreichische Nationalbibliothek,77.K.55 ALT PRUNK,1,https://api.onb.ac.at/iiif/presentation/v3/manifest/10AC1F79,374
Calvin_Rm,no,no,no,no,B,,Jean Calvin,"Commentarij in Epistolam Pauli ad Romanos
",Rihel,1540,Strassbourg,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11119106-3,"Regensburg, Staatliche Bibliothek",999/Theol.syst.1101(1,1,bsb11119106_00005-bsb11119106_00466,461
Erasmus_Cor,no,no,no,no,M,,Desiderius Erasme,Paraphrasis in duas epistolas Pauli ad Corinthios ,Froben,1519,Basel,https://doi.org/10.3931/e-rara-3172  ,"Universitätsbibliothek Basel,",UBH FC* III 8:2,1,1192835-1193059,224
Hemmingsen_Rm,no,no,no,no,NS,,Niels Hemmigsen,Commentarius in epistolam Pauli ad Romanos,Voegelin Ernst,1562,Leipzig,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10176721-0 ,"München, Bayerische Staatsbibliothek",Exeg. 470,1,bsb10176721_00001-bsb10176721_00530,530
Knopken_Rm,no ,no ,no,no,H,,Andreas Knopken,In epistolam ad Romanos interpretatio,Johann Petreius,1524,Nuernberg,https://onb.digital/result/109892B3, Österreichische Nationalbibliothek,79.Ee.102 ALT PRUNK,1,https://api.onb.ac.at/iiif/presentation/v3/manifest/109892B3,182
Major_Rm,no,no,no,no,H,, Georg Maior,"Series et dispositio orationis in epistola Pauli ad Romanos,",Hans Luft,1556,Wittenberg,https://www.digitale-sammlungen.de/en/details/bsb10176888,"München, Bayerische Staatsbibliothek",Exeg. 730#Beibd.1,1,bsb10176888_00001-bsb10176888_00288,288
Megander_Eph,no,no,no,no,N,,Kaspar Megander,n epistolam Pauli ad Ephesios commentarius una cum Ioannis Rhellicani epistola monitoria,Henrichus Petri,1534,Basel,https://www.digitale-sammlungen.de/en/details/bsb00036972,"München, Bayerische Staatsbibliothek",Exeg. 700 m,1,bsb00036972_0001-bsb00036972_00282,282
Melanchthon_Rom-Cor,no,no,no,no,H,,Philipp Melanchthon,Annotationes in epistolam Pauli ad Romanos unam et ad Corinthios duas,Johannes Herwagen,1523,Strassburg,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN773861106,"
Staatsbibliothek zu Berlin",Bt 2552,1,773861106-00001-773861106-00314,314
Oekolampadius_Rom,no,no,no,no,B,,Johannes Oekolampadius,In epistolam B. Pauli apost. ad Rhomanos adnotationes,Cratander,1525,Basel, https://doi.org/10.3931/e-rara-8160,"Zentralbibliothek Zürich,","C 283,2",1,2122868-2123104,220
Oekolampadius_Hebr,no,no,no,no,M,,Johannes Oekolampadius,In Epistolam Ad Hebraeos explanationes,,1534,Basel,https://www.digitale-sammlungen.de/en/details/bsb10180052,"München, Bayerische Staatsbibliothek
","Hom. 1112#Beibd.1
",1,bsb10180052_00001-bsb10180052_00382,382
Olevian_Eph,no,no,no,no,N,,Kaspar Olevian,Notae in epistolam Pauli apostoli ad Ephesios,Christoph Corvin,1588,Herborna,https://www.digitale-sammlungen.de/en/details/bsb10176929,"München, Bayerische Staatsbibliothek
","Exeg. 816
",1,bsb10176929_00001-bsb10176929_00304,304
Rollock_Eph,no,no,no,no,N,,Robert Rollock,In Epistolam S. Pauli apostoli ad Ephesios,François le Preux,1593,Genève,https://doi.org/10.3931/e-rara-1263,Universitätsbibliothek Basel,UBH Frey-Gryn G VI 22:1,1,345266-345711,448
Bucer_Eph_test,no,no,no,no,N,FG,Martin Bucer,Epistolam ad Ephesios,Anonymus,1527,Strassburg,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00035303-6,München Bayerische Staatsbibliothek,Polem. 408 Beibd.2,1,Bsb0003503_0043-bsb0003503_0224,224
total,,,,,,,,,,,,,,,,,4233
